"kapitola";"věta";"rozsudek";"komentář"
"V";"Pokoušel se Kláru strašit náhlým bafnutím z rohu kuchyně, ale ona na tyhle dětské šprýmy reagovala jen unaveným, podrážděným výrazem středoškolské učitelky.";"PONECHAT";"Odkaz na scénu bafnutí z kap. IV, teď z jeho vlastní perspektivy - dobrá provázanost dvou verzí stejné události."
"V";"V zápalu posmrtné nudy se občas pokoušel vyběhnout na stěnu – pokrčený jako čtyřnohý pavouk s hlavou otočenou dozadu jako sovička –, což obvykle končilo jen převrácenou komodou nebo dalším otřesem mozku.";"UPRAVIT";"Silný obraz, ale vložená charakteristika (""pokrčený jako pavouk... jako sovička"") přetěžuje větu dvěma vloženými přirovnáními najednou - zvážit rozdělení na dvě věty."
"V";"Jednou se mu to vymstilo.";"PONECHAT";"Krátké, zavádí následující násilnou scénu."
"V";"Tehdy Klárce ruply nervy, vzala proutek a třikrát ho švihla přes záda.";"PONECHAT";"Odpovídá scéně z kap. IV, teď z Tomášovy perspektivy - potvrzuje sdílenou (byť rozdílně interpretovanou) realitu."
"V";"Nestačilo jí to.";"PONECHAT";"Krátké, gradující."
"V";"O chvíli později ho chytila za ruku a přimáčkla ji dlaní k rozpálenému sporáku.";"PONECHAT";"Klíčová věta - přímo protiřečí verzi z kap. IV, kde šlo o nehodu/sebepoškození, zde je to prezentováno jako úmyslné násilí. Definitivní potvrzení nespolehlivého vyprávění jako centrálního principu knihy, nesahat."
"V";"To mu zrovna došlo, že v určitých chvílích byl schopen cítit fyzickou bolest.";"PONECHAT";"Funkční, důležitý detail jeho posmrtného vnímání."
"V";"Zraněného ho zavřela ve sklepě a přinutila ho vykopat jim dva hroby.";"PONECHAT";"Shrnutí, které propojuje s předchozími scénami - funguje jako rekapitulace."
"V";"Jindy ho střelila uspávací puškou na divokou zvěř.";"PONECHAT";"Odkaz na scénu s jezevčíkem výše, konzistentní."
"V";"Její sadismus vyvrcholil, když ho nechala zavřít v podivném klášteře.";"PONECHAT";"KLÍČOVÁ věta - přímo předjímá klášter z kap. XI/XII, uzavírá kruh mezi Tomášovou fantazií a skutečnou budoucí událostí (kde bude v klášteře Klára, ne on) - mimořádně důležité zrcadlení, nesahat."
"V";"Vznášel se nad jídelním stolem v kuchyni a pozoroval Kláru, jak nesvlečená seděla u stolu a rozčileně motala cigarety, hůře než obvykle.";"PONECHAT";"Návrat k úvodní scéně knihy (kap. I) z jiného úhlu - dobrá cyklická stavba."
"V";"Když při motání natrhla papírek, dokonce začala dupat a nadávat jako malý fracek na pár facek.";"PONECHAT";"Živý, konkrétní detail frustrace."
"V";"Pokusil se představit, jaká byla Klárka jako dítě.";"PONECHAT";"Funkční přechod k dojemné odbočce."
"V";"Představa malé holčičky, jak přijde k jídelnímu stolu, nepřevlékne se a začne se vztekat u své hračky – v jejím případě teď laciný tabák, sáčky a filtry – působila groteskně a ironicky.";"PONECHAT";"Dobrá, dojemně groteskní paralela dětství/dospělosti, funguje."
"V";"Tohle by Tomášův otec nestrpěl.";"PONECHAT";"Krátká, záhadná věta otevírající novou, nerozvinutou linku (Tomášův otec) - zajímavé, i když nedovysvětlené, ponechat jako náznak."
"V";"„Tomáši, večeře!"" zavolala Klárka ze schodů do sklepa.";"PONECHAT";"Funkční přechod k závěrečné scéně."
"V";"Nepamatoval si, jak se dostal na hliněnou podlahu jejich sklepa, hlavou se mu jen honily škodovky a jejich pojistky.";"PONECHAT";"Dobrý detail - i po smrti ho pronásledují banální pracovní starosti (škodovky, pojistky), silná, smutná ironie."
"V";"„Tomáši, večeře! Pojď nahoru.“";"PONECHAT";"Funkční."
"V";"Jakmile zaregistroval, že ho Klárka volá k večeři, neváhal ani minutu a po čtyřech vyběhl ze sklepa.";"PONECHAT";"""Po čtyřech"" - definitivně potvrzuje, že i z Tomášovy vlastní perspektivy se chová jako pes, nejde jen o Klářino zkreslení. Klíčová věta pro pochopení, že zvířecí motiv je sdílená realita obou postav."
"V";"„Máš to na stole, normálně si k tomu sedni.“";"PONECHAT";"Funkční, dokresluje zmatek rolí."
"V";"„Tak dobře! Dám ti to na zem, ale přestaň na mě vrčet, jasný?“";"PONECHAT";"""Vrčet"" definitivně potvrzuje zvířecí rámec i z Klářiny přímé řeči k němu, silné."
"V";"Povzdechla si a pak nepříliš ochotně vzala talíř s pečenými vnitřnostmi okořeněnými divokým kořením.";"PONECHAT";"Funkční, konkrétní."
"V";"Těsně, než talíř položila na zem před Tomáše, rozmyslela si to a ušklíbla se.";"PONECHAT";"Funkční, dobrý detail váhání."
"V";"S talířem odešla k lince a tam ho také položila.";"PONECHAT";"Funkční."
"V";"Vrátila se s nerezovou miskou, tu mu pak dala před čumák a situaci nijak nekomentovala.";"PONECHAT";"""Čumák"" - definitivní, poslední potvrzení zvířecího rámce na konci kapitoly, silné a znepokojivé zakončení."
"V";"Tomáš se spokojeně ládoval skopovým žaludkem plněným kuřecími pupky a Klárka si vykuřovala u hliníkové popelnice s umazaným víkem.";"PONECHAT";"Poslední věta kapitoly - uzavírá ji odkazem na popelnici (opakovaný motiv napříč celou knihou) a scénou naprosté, tiché normalizace bizarní situace. Silné, cyklické zakončení, nesahat."
"VI";"„Právnická osoba je Taxiservice Koucký s.r.o., adresa Praha 9 – Horní Počernice, jednatel Miroslav Koucký,"" pomyslel si Tomáš a vyplnil z paměti IČO.";"PONECHAT";"Neobvyklý, ale funkční vstup do kapitoly přímo do byrokratické rutiny - dobrý kontrast k jinak lyrickému stylu, signalizuje téma odstavce."
"VI";"Systém automaticky načetl zbytek údajů o firmě.";"PONECHAT";"Funkční, věcné."
"VI";"Tomáš přeskočil do sekce „Předmět pojištění"" a jako pojišťovanou flotilu definoval všechna vozidla taxislužby, včetně provozní garáže a myčky.";"PONECHAT";"Funkční, konkrétní pracovní úkon - důležité jako základ pro následné trojí opakování scény."
"VI";"Pečlivě opsal registrační značky všech osmi oktávek.";"PONECHAT";"Odkaz na motiv ""oktávky"" z kap. II - konzistentní firemní realita."
"VI";"V další části formuláře zadal celkový počet vozidel a podle interních tabulek stanovil pojistnou částku v řádu jednotek milionů korun.";"PONECHAT";"Funkční, první výskyt vzorce, který se v kapitole ještě dvakrát zopakuje - tuto první verzi ponechat coby základní referenční bod."
"VI";"Proklikal se standardní sadou rizik – od havárie po odcizení – a následně zaškrtl klíčová připojištění pro firemní klientelu: poškození vozidel třetí stranou, vandalismus a především pojištění pro případ přerušení provozu.";"PONECHAT";"Funkční byrokratický výčet - důležité, že se doslovně zopakuje v odst. 3, což je záměrný kompoziční prvek (viz komentář tam), ne chyba."
"VI";"U všech položek nastavil vyšší spoluúčast, než bylo běžné u fyzických osob.";"PONECHAT";"Funkční, opakuje se identicky v odst. 3 - záměrný refrén."
"VI";"Tomáš zamkl obrazovku a odskočil si na toaletu.";"PONECHAT";"Funkční uzavření první ""smyčky"" - tahle věta se stane refrénem celé kapitoly."
"VI";"Cestou nazpět potkal pojišťovacího agenta Jaromíra.";"PONECHAT";"Funkční, zavádí postavu, která se objeví ve všech třech opakováních scény."
"VI";"Na kávu se nenechal přemluvit, měl ten den už tři vypité a před sebou mnoho pojistek na sjednání.";"PONECHAT";"Funkční, konkrétní detail."
"VI";"Oba muži si zanadávali na formulář pro sjednání flotil a pak se vrátili na svá místa.";"PONECHAT";"Funkční - tahle věta se doslovně opakuje v odst. 4, součást záměrné smyčky."
"VI";"Jaromír na svou židli v openspacu a Tomáš do své kanceláře.";"PONECHAT";"Funkční, opakuje se identicky - refrén."
"VI";"Než se Tomáš vrátil k práci, rozhoupal kuličky rázostroje.";"PONECHAT";"Funkční, opakuje se identicky ve všech smyčkách - impulz jako rituální gesto před prací, klíčový motiv."
"VI";"Odemkl počítač a podíval se do listu smluv.";"PONECHAT";"Funkční, opakuje se identicky."
"VI";"„Co to kurva…“ pomyslel si.";"PONECHAT";"Funkční, opakovaný refrén frustrace."
"VI";"V listu smluv nebyla smlouva, kterou před chvílí vyplňoval.";"PONECHAT";"Klíčová věta - zavádí motiv mizejících dokumentů, který se v kapitole opakuje a gradiuje (purgatoriální smyčka)."
"VI";"Aktualizoval editor, podíval se do archivu, podíval se do koše, ale po rozdělané pojistce nebylo ani stopy.";"PONECHAT";"Funkční, konkrétní marné hledání."
"VI";"Musel začít znovu, ale až po svačině.";"PONECHAT";"Funkční, opakovaný refrén - zavádí motiv svačiny, který v dalších smyčkách degraduje (sendvič → prázdný box → červi)."
"VI";"Vytáhl z aktovky domácí sendvič se žervé a poličanem.";"PONECHAT";"Funkční, konkrétní - první, ještě ""normální"" verze svačiny."
"VI";"Položil si obutá chodidla na židli pro hosty.";"PONECHAT";"Odkaz na opakovaný motiv nohou na nábytku (Klára v kap. I, teď Tomáš) - dobrá paralela mezi postavami."
"VI";"Po jídle se pustil do práce.";"PONECHAT";"Funkční přechod do druhé smyčky."
"VI";"Jako adresu vyplnil Praha 9, Náchodská 12.";"OVĚŘIT";"Adresa se liší od první verze (""Horní Počernice"") - nekonzistence napříč smyčkami je buď záměrná (ukazuje rozklad reality/paměti), nebo chyba. Vzhledem k dalším driftům v kapitole (jméno firmy, obsah svačiny) jde pravděpodobně o záměr - ponechat, ale vyjasnit s autorem."
"VI";"Taxiservice Koucký a.s. – jednatel Miroslav Koucký.";"OVĚŘIT";"Právní forma firmy se změnila z ""s.r.o."" na ""a.s."" oproti odst. 0 - stejně jako adresa výše, jde pravděpodobně o záměrný detail rozkladu reality mezi smyčkami, ne o chybu. Ponechat, ale potvrdit záměr."
"VI";"Stále si pamatoval IČO a pěti prsty bez koukání na klávesnici ho tam naťukal.";"PONECHAT";"Funkční, konkrétní detail zručnosti/rutiny."
"VI";"Jako předmět pojištění vyplnil osm osobních vozidel Škoda Octavia, provozní garáž a kancelář.";"PONECHAT";"Funkční, mírně odlišná verze první smyčky (přibyla ""kancelář"") - konzistentní s driftem detailů."
"VI";"Dopsal počet najetých kilometrů za rok pro každé vozidlo zvlášť.";"PONECHAT";"Funkční, nový detail oproti první smyčce."
"VI";"Koeficienty jsou totiž dány podle stáří a nájezdu.";"PONECHAT";"Funkční, odborné zdůvodnění, dobře charakterizuje jeho profesní rutinu."
"VI";"Podle interních tabulek určil pojistnou částku v řádu milionů korun.";"PONECHAT";"Funkční, opakuje motiv z první smyčky."
"VI";"Proklikal se standardní sadou rizik – od havárie po odcizení – a následně zaškrtl klíčová připojištění pro firemní klientelu: poškození vozidel třetí stranou, vandalismus a především pojištění pro případ přerušení provozu.";"PONECHAT";"Věta je doslovně identická s odst. 1 - toto je záměrný kompoziční nástroj (obsedantní, purgatoriální opakování administrativní rutiny), ne redundance k odstranění. Nesahat, funguje jako strukturální refrén celé kapitoly."
"VI";"U všech položek nastavil vyšší spoluúčast, než bylo běžné u fyzických osob.";"PONECHAT";"Doslovné opakování - stejná poznámka jako výše, jde o záměrný refrén, nesahat."
"VI";"Tomáš zamkl obrazovku a odskočil si na toaletu.";"PONECHAT";"Doslovné opakování - uzavírá druhou smyčku stejně jako první, funguje jako rituální refrén."
"VI";"Cestou nazpět potkal Jaromíra.";"PONECHAT";"Funkční, zkrácená verze věty z odst. 2 - drift v detailu (chybí ""pojišťovacího agenta"")."
"VI";"Ten ho pozval na kávu, ale Tomáš odmítl s tím, že už měl ten den tři.";"PONECHAT";"Funkční, mírně přeformulovaná verze - konzistentní s driftem."
"VI";"Oba muži si zanadávali na formulář pro sjednání flotil a pak se vrátili na svá místa.";"PONECHAT";"Doslovné opakování - refrén."
"VI";"Jaromír na svou židli v openspacu a Tomáš do své kanceláře.";"PONECHAT";"Doslovné opakování - refrén."
"VI";"Než se Tomáš vrátil k práci, rozhoupal kuličky rázostroje.";"PONECHAT";"Doslovné opakování - refrén, impulz jako rituál."
"VI";"Odemkl počítač a podíval se do listu smluv.";"PONECHAT";"Doslovné opakování - refrén."
"VI";"„Co to kurva…“";"PONECHAT";"Zkrácená verze refrénu (chybí ""pomyslel si"") - drift."
"VI";"Nemohl najít vyplněný formulář.";"PONECHAT";"Funkční, obměna stejné myšlenky jako v první smyčce."
"VI";"Nenacházel se v seznamu otevřených smluv.";"PONECHAT";"Funkční, konkrétní."
"VI";"Podíval se do koše, ale dokument se nenacházel ani tam.";"PONECHAT";"Funkční, obměna."
"VI";"Musel začít znovu, ale až po svačině.";"PONECHAT";"Doslovné opakování - refrén, zavádí druhou (degradovanou) verzi svačiny."
"VI";"Natáhl si nohy na židli vedle kancelářského stolu.";"PONECHAT";"Funkční, obměna gesta z první smyčky."
"VI";"Vytáhl box se sendvičem.";"PONECHAT";"Funkční, zavádí zvrat."
"VI";"Přesněji řečeno prázdný box, jak později zjistil.";"PONECHAT";"Klíčová věta - první signál rozkladu reality/paměti, svačina zmizela."
"VI";"Nepamatoval si, že by sendvič už snědl, musel si ho zapomenout doma.";"PONECHAT";"Funkční, ukazuje jeho racionalizaci mezery v paměti."
"VI";"Chvíli zíral na prázdný box a přemýšlel o masovém žralokovi.";"PONECHAT";"Odkaz na fantazii o ""masovém žralokovi"" z kap. I - klíčová stavební linka, potvrzuje, že jde o tutéž mysl/postavu napříč knihou."
"VI";"Středeční žralok by mohl být z pojistných smluv.";"PONECHAT";"Absurdní, dobrá černá komedie - propojuje kancelářskou nudu s jeho surrealistickou fantazií."
"VI";"Takový žralok by nikoho nesežral, jen by oběť utopil v papírování.";"PONECHAT";"Silná, trefná metafora firemní byrokracie jako formy pomalého utonutí, nesahat."
"VI";"Nedalo se nic dělat, musel začít znovu.";"PONECHAT";"Funkční přechod do třetí, nejvíc degradované smyčky."
"VI";"Zapnul počítač a otevřel editor pro vyplnění nabídky pojištění.";"PONECHAT";"Funkční, obměna refrénu."
"VI";"Vytáhl si poznámky a jednu po druhé je opisoval: Právnická osoba – Pneumatikový žralok s.r.o., adresa – Praha 9, Náchodská 12, jednatel – Miroslav Koucký, počet vozidel – 8, typ vozidel – Škoda Octavia 2.0 TDI, průměrný roční nájezd na vozidlo – 85 000 km, stáří nejstaršího vozu – 4 roky, garáž – uzamykatelná, kapacita 10 stání, vzdálenost od nejbližší profesionální hasičské stanice – 2,1 kilometru, typ oplocení – drátěný plot s elektrickým zámkem o výšce dvou metrů, limit pro pojištění vozidel – 4 800 000 Kč, doba ručení pro přerušení provozu – 6 měsíců, spoluúčast pro odcizení a vandalismus – 5 %, minimálně však 20 000 Kč, počet stálých zaměstnanců – 12, historie pojistných událostí za posledních pět let – bez záznamu, specifikace hlavního vytápění garáže – plynový kotel značky Viessmann, a enter.";"PONECHAT";"Traktováno jako jeden celek záměrně - jde o formální báseň/litanii byrokratických údajů, jejíž bezduchá preciznost je sama pointou (kontrast k okolnímu rozpadu reality). Klíčový detail: název firmy se změnil na ""Pneumatikový žralok s.r.o."" - přímý průnik jeho fantazie (kap. I, žralok z pneumatik) do ""reálné"" administrativní práce, definitivní důkaz, že vnímání reality se rozkládá. Nesahat, nejsilnější věta kapitoly."
"VI";"Tomáš si prokřupl záda a vydal se na záchod.";"PONECHAT";"Funkční, obměna refrénu."
"VI";"Cestou potkal pojišťovacího agenta Jaromíra.";"PONECHAT";"Refrén."
"VI";"Ten ho pozval na kafe, ale Tomáš odmítl.";"PONECHAT";"Refrén, obměna."
"VI";"Už ten den měl třetí.";"PONECHAT";"Refrén, zkrácená verze."
"VI";"Společně si pak postěžovali na bolesti žlučníků";"PONECHAT";"Nový detail v refrénu - žlučníkový motiv se poprvé objevuje i u vedlejší postavy (Jaromíra), rozšiřuje motiv za hranice hlavní postavy."
"VI";"deštivé počasí žlučníkům totiž nesvědčí.";"PONECHAT";"Absurdně věcné, pseudolékařské tvrzení - dobrý černý humor."
"VI";"Jaromír se vrátil na své místo v openspacu a Tomáš zamířil do své kanceláře.";"PONECHAT";"Refrén, obměna."
"VI";"Při vstupu si všiml, že mu chybí monitor.";"PONECHAT";"Klíčová věta - odkaz na ""vyfasoval jsem konečně nový monitor"" z kap. III, teď monitor mizí stejně jako smlouvy - pokračuje motiv rozkladu majetku/reality."
"VI";"Nedalo se nic dělat, musel údaje zadat poslepu jen klikáním do klávesnice, ale nejdřív si dal pauzu na svačinu.";"PONECHAT";"Funkční, absurdní řešení (práce naslepo) dobře ukazuje rozpad logiky reality."
"VI";"Kuličky rázostroje o sebe cinkaly s přesností atomových hodin.";"PONECHAT";"Silné přirovnání, dobře propojuje impulz/houpačku s motivem přesného, nemilosrdného plynutí času."
"VI";"Tomáš si dal nohy na stůl.";"PONECHAT";"Refrén gesta."
"VI";"Vytáhl z aktovky modrý box se svačinou.";"PONECHAT";"Funkční, zavádí finální, nejděsivější verzi svačiny."
"VI";"Měl radost, Klárka mu připravila jeho oblíbené červy.";"PONECHAT";"Šokující, klíčová věta - svačina se definitivně proměnila v hnilobné červy, vrchol degradace reality/těla, silné a nesahat."
"VI";"Byli tam červi růžoví a kroutící se jako vytažené bílé žížaly.";"PONECHAT";"Konkrétní, znepokojivý tělesný detail, funguje jako hororový obraz rozkladu."
"VI";"Byli tam červi červení, nevěděl, jaké zvíře se z nich vylíhne, až se zakuklí – byli krásní už teď.";"PONECHAT";"Mrazivě klidný, téměř láskyplný tón vůči obrazu rozkladu vlastního těla - silná, znepokojivá pointa, nesahat."
"VI";"Cink.";"PONECHAT";"Krátké, onomatopoické - dobrý rytmický zlom, zvuk houpačky jako tikot hodin/odpočítávání."
"VI";"Kuličky na rázostroji odbyly už sedmdesátou druhou periodu od doby, co otevřel svačinový box.";"PONECHAT";"Konkrétní číslo dodává obsedantní přesnost - dobrý detail psychického rozkladu (počítání jako úzkostná kotva)."
"VI";"Tomáš neměl moc hlad, a tak si je nechal lézt po dlani.";"PONECHAT";"Znepokojivě klidná reakce na červy na vlastní ruce, funguje jako pokračování jeho otupělosti."
"VI";"Seznamovali se s jeho prsty – to jsou vzdálení příbuzní červů.";"PONECHAT";"Absurdní, groteskní ""vědecká"" poznámka (prsty jako příbuzní červů) - dobrý černý humor v hororové scéně."
"VI";"Cink.";"PONECHAT";"Opakování zvuku - dobrý rytmický refrén."
"VI";"Úder 186 – počítal to.";"PONECHAT";"Pokračuje obsedantní počítání, dobrý detail psychického stavu."
"VI";"Zatímco mu proklouzávali malí kamarádi mezi prsty, dozvěděl se od nich tajemství, které znají všichni nemocní, a tehdy mu došlo, že z něj bude skvělý otec.";"PONECHAT";"Naprosto nelogická, znepokojivá pointa (červi → otcovství) - vrchol jeho psychického rozpadu, mrazivě nesouvislá asociace, nesahat, nejsilnější/nejděsivější věta úseku."
"VI";"Nerezová psí miska na podlaze byla prázdná.";"PONECHAT";"Funkční přechod - definitivní potvrzení zvířecího rámce pokračujícího z předchozích kapitol."
"VI";"Tomáš ležel schoulený vedle ní, tvrdě spal a jako improvizovaný pelíšek mu sloužily na cucky roztrhané pojistné smlouvy.";"PONECHAT";"Devastující, dokonalá pointa celé úvodní části kapitoly - jeho profesní identita (pojistné smlouvy) doslova roztrhaná na psí pelíšek. Nejsilnější obraz kapitoly, nesahat ani slovo."
"VI";"Klára si ho změřila prázdným pohledem.";"PONECHAT";"Funkční přechod k Klářině perspektivě, ""prázdným"" dobře ukazuje její emoční vyčerpání."
"VI";"Ten se zvedne nejdřív až zítra v poledne.";"PONECHAT";"Funkční, věcný odhad - ukazuje rutinní, otupělou znalost jeho stavů."
"VI";"Vytáhla z koše na prádlo zmačkanou deku.";"PONECHAT";"Konkrétní, funkční gesto."
"VI";"Letmo k ní čichla, zkontrolovala, jak moc je špinavá, a když usoudila, že ještě týden vydrží, přehodila ji přes něj.";"PONECHAT";"Znepokojivě věcný, zanedbaný detail péče - dobře ukazuje míru rezignace v domácnosti."
"VI";"Konečně měla chvilku pro sebe.";"PONECHAT";"Krátké, funkční, zavádí následující relaxační scénu."
"VI";"Přešla do obývacího pokoje.";"PONECHAT";"Funkční přechod."
"VI";"Kuličky na Newtonově houpačce zpomalovaly.";"PONECHAT";"Funkční, návrat symbolu."
"VI";"Klára uchopila krajní z nich a volným pádem ji poslala zpět mezi ostatní, čímž obnovila to monotónní cinkání, které se neslo celým domem.";"PONECHAT";"Funkční, Klára sama ""dodává impulz"" - důležitý detail, ukazuje, že i ona potřebuje tento rituál."
"VI";"Stěny obývacího pokoje byly lemovány dřevotřískovými vitrínami slohu socialistického modernismu.";"PONECHAT";"Konkrétní, funkční popis, odkaz na podobný popis z kap. I."
"VI";"Z vitríny na ně koukalo několik babiček, dědečků, strýčků, tetiček a tchánů.";"PONECHAT";"Dobrý, mírně strašidelný obraz rodinných fotografií jako pozorovatelů."
"VI";"Mimo fotek měli ve vitríně porcelán z Karlových Varů, lahve slivovice a Jameson, figurky prasátek a mnoho dalších předmětů, které Tomáš nazval kýčovinami, ale Klára by je spíš nazvala píčovinami.";"PONECHAT";"Doslovná paralela k popisu z kap. I (""kýčovinami""/""píčovinami"") - teď z obou perspektiv najednou, potvrzuje sdílenou realitu prostoru, důležitá stavební linka."
"VI";"Podívala se po obýváku ještě jednou.";"PONECHAT";"Funkční přechod k filozofické promluvě."
"VI";"„Nedivím se, že se Tomáš považuje za mrtvého, probudit se tady po autonehodě, myslela bych si, že jsem v pekle.“";"PONECHAT";"KLÍČOVÁ věta - Klára nezávisle na Tomášovi/Garnierovi dochází ke stejnému závěru o povaze pekla, mimořádně důležitá pro strukturální jednotu knihy, nesahat."
"VI";"Peklo není místo ohně a síry, je to obývací pokoj na předměstí plný cetek.";"PONECHAT";"Přesně odpovídá Garnierově meditaci o pekle z kap. V, jen z Klářiny vlastní perspektivy - definitivní potvrzení sdílené filozofické teze knihy, nejdůležitější spojující věta v kapitole, nesahat."
"VI";"Klára se svalila na gauč.";"PONECHAT";"Funkční, konkrétní gesto vyčerpání."
"VI";"Z televize se linula směs idiocie a hluku – lidé stojící 48 hodin ve frontě pro pár korun, kuchař vařící játra v myčce na nádobí, dement požírající zvířecí vnitřnosti.";"PONECHAT";"Silná mediální satira, poslední detail (""dement požírající vnitřnosti"") je mrazivě ironický - přesně popisuje Tomáše doma, jen na televizní obrazovce. Nesahat."
"VI";"Kdyby chtěla tohle vidět, stačilo jí najít Tomáše u řeznictví v Březanech.";"PONECHAT";"Odkaz na scénu z kap. I - konzistentní stavební linka, dobrá sebeuvědomělá ironie."
"VI";"Přepla na Faktor strachu, ale ten byl ještě horší.";"PONECHAT";"Konkrétní, reálný televizní odkaz dodává satiře věrohodnost."
"VI";"Nakonec nechala běžet zpravodajský kanál vysílající 24/7.";"PONECHAT";"Funkční, uzavírá odbočku o televizi."
"VI";"Venku pršelo, a tak udělala něco, co chtěla vždycky – z vitríny vytáhla růžový porcelánový podšálek s tulipány, „posrané rodinné dědictví“, a použila ho jako popelník.";"PONECHAT";"Silný symbolický akt vzdoru (znesvěcení rodinného dědictví) - dobrá charakterizace jejího vnitřního vzteku."
"VI";"Hodila si nohy na stůl.";"PONECHAT";"Odkaz na úvodní gesto celé knihy z kap. I - cyklická stavební linka."
"VI";"Svoboda – to by měla být nejvyšší priorita.";"PONECHAT";"Funkční, zavádí filozofickou úvahu o svobodě."
"VI";"Nikoliv peníze nebo Bůh, ale vědomí, že si mohu dělat, co chci.";"PONECHAT";"Funkční, pokračuje úvahu, odkazuje na motiv Boha z kap. I a XII."
"VI";"Člověk by měl být svobodný alespoň jednu hodinu týdně.";"PONECHAT";"Funkční, konkrétní teze."
"VI";"Svět by byl lepším místem, kdyby každý pravidelně vypustil páru.";"PONECHAT";"Funkční, zavádí následující groteskní příklady."
"VI";"Vegetariáni by se v pátek scházeli ve steakhousech nad krvavými bifteky, kněží by navštěvovali masážní salony a někdo jiný by mohl běhat polonahý po parkovišti s maskou koně.";"PONECHAT";"Absurdní, vtipný výčet příkladů ""vypuštění páry"" - dobrá odlehčující black komedie uprostřed jinak temné kapitoly, nesahat."
"VI";"Svoboda se nedá nalajnovat třetí osobou.";"PONECHAT";"Aforistická, silná teze, funguje."
"VI";"Možná by lidé ve svobodné společnosti dělali dál jen své povinnosti a žili v rutině – to je nejpravděpodobnější varianta.";"PONECHAT";"Trpce cynický, realistický závěr úvahy o svobodě, dobrá pointa."
"VI";"Klára pokoušela svou vůli tím, že si z lednice vytáhla pivo, přestože ten den nejedla.";"PONECHAT";"Funkční, ukazuje sebedestruktivní vzorce chování."
"VI";"Sledovala telenovelu a přemítala, že někdy je lepší zůstat v rituálech askeze než za každou cenu dokazovat svobodu.";"PONECHAT";"Funkční, ironicky kontrastuje s předchozí tirádou o svobodě."
"VI";"Alespoň jí zůstalo svobodné rozhodnutí, že si další pivo nedá.";"PONECHAT";"Hořce ironická pointa - jediná ""svoboda"", kterou si dovolí, je sebeomezení, silné zakončení odstavce."
"VI";"Zprávy přinesly reportáž o muži, který zlomil svým dětem třiačtyřicet kostí.";"PONECHAT";"Šokující, konkrétní detail, zavádí závěrečnou meditaci o trestu smrti."
"VI";"Dostal pět let.";"PONECHAT";"Krátké, věcné, dobrý kontrast závažnosti činu a trestu."
"VI";"Klára televizi vypnula.";"PONECHAT";"Funkční, reakce na šokující zprávu."
"VI";"Když se rušil trest smrti, bývala proti tomu.";"PONECHAT";"Funkční, zavádí vývoj jejího názoru."
"VI";"Představa justičního omylu, že by státní mašinérie zabila nevinného, jí zvedala žaludek.";"PONECHAT";"Funkční, dobrý argument pro její dřívější postoj."
"VI";"Ale lidé se s věkem stávají konzervativnějšími – možná moudrostí, možná citovou otupělostí.";"PONECHAT";"Dobrá, sebekritická poznámka, funguje."
"VI";"Dnes už to viděla jinak.";"PONECHAT";"Krátké, zavádí zvrat názoru."
"VI";"Trest smrti by neměl být trestem podle práva, ale odstraněním „antilidí” – dětských vrahů a zrůd týrajících pro potěšení.";"PONECHAT";"Silná, znepokojivá teze, funguje jako charakterizace jejího otupělého/radikalizovaného stavu."
"VI";"Kdo týrá psa, měl by být utracen jako ten pes, kterého týral.";"PONECHAT";"NEJDŮLEŽITĚJŠÍ věta kapitoly - mrazivá dramatická ironie, protože Klára sama v této chvíli týrá Tomáše jako psa, aniž by si to uvědomovala. Vrcholná pointa celé knihy o sebeklamu, nesahat ani slovo."
"VI";"Dopila zvětralé pivo a šla se podívat do lednice.";"PONECHAT";"Funkční přechod k závěrečné, klidné scéně."
"VI";"Našla játra, vepřový žaludek, jogurt, škvarkovou pomazánku a láhev Fanty – to jí bude stačit.";"PONECHAT";"Poslední věta kapitoly - uzavírá vnitřnostní/jogurtový motiv v naprosto klidném, banálním tónu po předchozí mrazivé pointě, dobrý kontrast, nesahat."
"VII";"Cotardův syndrom, syndrom chodící mrtvoly nebo méně známé označení nihilistická bludná porucha je duševní onemocnění pojmenované po neurologovi a psychiatrovi Julesi Cotardovi.";"PONECHAT";"Na rozdíl od fiktivního ""Vögtliho syndromu"" z kap. III jde o SKUTEČNOU psychiatrickou poruchu a informace je zde plotově zásadní (přesně pojmenovává Tomášův stav) - funguje jako věcná, nutná expozice, ne jako satirická vata."
"VII";"Projevuje se pacientovým přesvědčením, že je mrtvý, neexistuje, nemá krev nebo si myslí, že nemá orgány.";"PONECHAT";"Klíčová definiční věta - přesně popisuje Tomášovu situaci, důležité pro čtenáře k pochopení diagnózy."
"VII";"Cotard poprvé představil své poznatky na přednášce, kterou nazval „Du délire des négations“ („Bludy popírání“).";"UPRAVIT";"Historický detail (název přednášky) je funkční, ale následující encyklopedický odstavec o ""madame X"" je dlouhý a zdržuje - zvážit zkrácení celé kazuistiky o polovinu, hlavní informace (Cotard = víra ve vlastní smrt) už zazněla."
"VII";"Popisoval případ ženy, kterou označil jako „madame X“.";"PONECHAT";"Funkční přechod do kazuistiky."
"VII";"Tato pacientka věřila, že je mrtvá a že její tělo je v rozkladu.";"PONECHAT";"Funkční, opakuje klíčovou informaci."
